question,answer
"What is CodeAlpha?","CodeAlpha is a technology company that provides internship and training opportunities."
"What is the internship duration?","The CodeAlpha internship duration is from 10 September 2026 to 10 October 2026."
"When is the submission deadline?","The final task submission deadline is 10 October 2026."
"How many tasks do I need to complete?","You need to complete a minimum of 2 or 3 tasks as specified in your task document."
"Where should I upload my project?","Technical projects should be uploaded to a GitHub repository."
"Will I receive a certificate?","Yes, eligible interns can receive a Certificate of Internship after successful completion and submission."
"What is a Letter of Recommendation?","A Letter of Recommendation is a document that may be provided based on internship performance."
"How can I contact CodeAlpha support?","You can contact CodeAlpha support through the official support email provided in your internship communication."
"What is artificial intelligence?","Artificial Intelligence is the field of creating computer systems that can perform tasks that normally require human intelligence."
"What is machine learning?","Machine learning is a branch of artificial intelligence where computers learn patterns from data."
"What is Python?","Python is a popular programming language widely used for artificial intelligence, data science, and software development."
"What is NLP?","Natural Language Processing is a field of artificial intelligence that enables computers to process and understand human language."
